specimen_label,site_name,date_cest,method,method_repeat,sex,stage,id_confidence,suborder,family,subfamily,genus,species
TOR09 20210919 H1 C009,TOR09,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
MOL06 20211002 N1 C005,MOL06,2021-10-02,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Psophus,Psophus stridulus
TOR07 20210919 H1 C009,TOR07,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 H1 C008,TOR04,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 N2 C003,TOR04,2021-10-05,Net,2,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TAV08 20211006 N1 C004,TAV08,2021-10-06,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C014,TAV09,2021-10-06,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C012,TAV09,2021-10-06,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C013,TAV09,2021-10-06,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C016,TAV09,2021-10-06,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR05 20211005 H1 C007,TOR05,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
